orginal_tree_names,names_to_use,status,accepted_names,SporeType,Motility,phylum,class,order,family,genus,Life_style,trophicMode,guild,simpleFunct,SporeVolume,spore_length,spore_width,SporeArea,Q_ratio,Number_of_guilds,information,X,X.1,X.2,solving
Antrodiella citrinella,Flaviporus citrinellus,SYNONYM,NA,Meiospores,,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Flaviporus,AFree living,Saprotroph,Wood Saprotroph,Saprotroph,8.651553469,3.216666667,2.266666667,5.725552611,1.419484702,NA,"In the ""1KFG: Deep Sequencing of Ecologically-relevant Dikarya"" project (CSP1974), we aim to sequence additional sampling of genomic diversity within keystone lineages of plant-interacting fungi and saprophytic fungi that are of special ecological importance for understanding terrestrial ecosystems. In addition, comparative genome analysis with saprotrophic, mycorrhizal and pathogenic fungi will provide new insights into the specific and conserved adaptations associated with each fungal lifestyle.Antrodiella citrinella OMC 1724Antrodiella citrinella is a characteristic European polypore species with citric yellow fruiting bodies when fresh. This species is a successor species of Fomitopsis pinicola, meaning that it only inhabits trunks occupied by another polypore species, F. pinicola (Niemelä et al. 1995). A. citrinella, itself a white-rotter, is able to outcompete F. pinicola, a brown-rotter, when mycelia of the two species are faced against each other (Holmer et al. 1997). A. citrinella has evidently specialized to target F. pinicola to the degree that it is not found in nature without its predecessor.  Although F. pinicola is one of the most common wood decay fungi in Northern Europe, A. citrinella is much rarer, found in areas with abundant, Fomitopsis-colonized dead wood only, usually in old-growth forests (Ryvarden & Melo 2016). The species is red-listed in several European countries.A. citrinella belongs to the family Steccherinaceae in the order Polyporales. It is the second species from this family with its genome sequenced along with Albatrellus peckianus. The genome will help to resolve phylogeny of the Polyporales, and the ""residual polyporoid clade"" in particular. It will also serve as a reference genome in population genomic studies of the species and provide another reference white-rot genome for functional studies on wood decomposition.  Researchers who wish to publish analyses using data from unpublished CSP genomes are respectfully required to contact the PI and JGI to avoid potential conflicts on data use and coordinate other publications with the CSP master paper(s). ; References:",,,,Antrodiella citrinella_3.216666667_2.266666667
Apiotrichum brassicae,Apiotrichum brassicae,ACCEPTED,Apiotrichum brassicae,NA,,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Description mentions arthrospores arthroconidia but they are not described NEW SPECIES OF YEASTS FOUND IN JAPAN,Yeast,,,Apiotrichum brassicae_NA_NA
Apiotrichum domesticum,Apiotrichum domesticum,ACCEPTED,Apiotrichum domesticum,NA,,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Apparently pathogneic, arthroconidia mentioned but not described https://www.adelaide.edu.au/mycology/fungal-descriptions-and-antifungal-susceptibility/yeast-like-fungi/apiotrichum#apiotrichum-mycotoxinivorans",Yeast,,,Apiotrichum domesticum_NA_NA
Apiotrichum gamsii,Apiotrichum gamsii,ACCEPTED,Apiotrichum gamsii,NA,,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yeast. Based on description of genera https://www.adelaide.edu.au/mycology/fungal-descriptions-and-antifungal-susceptibility/yeast-like-fungi/apiotrichum#apiotrichum-mycotoxinivorans,,,,Apiotrichum gamsii_NA_NA
Apiotrichum gracile,Apiotrichum gracile,ACCEPTED,Apiotrichum gracile,NA,,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yeast. Based on description of genera https://www.adelaide.edu.au/mycology/fungal-descriptions-and-antifungal-susceptibility/yeast-like-fungi/apiotrichum#apiotrichum-mycotoxinivorans,,,,Apiotrichum gracile_NA_NA
Apiotrichum laibachii,Apiotrichum laibachii,ACCEPTED,Apiotrichum laibachii,Mitospores,,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,53.89385835,8.125,3.625,22.70291566,2.285714286,NA,,,,,Apiotrichum laibachii_8.125_3.625
Apiotrichum montevideense,Apiotrichum montevideense,ACCEPTED,Apiotrichum montevideense,NA,,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yeast. Based on description of genera https://www.adelaide.edu.au/mycology/fungal-descriptions-and-antifungal-susceptibility/yeast-like-fungi/apiotrichum#apiotrichum-mycotoxinivorans,,,,Apiotrichum montevideense_NA_NA
Apiotrichum porosum,Apiotrichum porosum,ACCEPTED,Apiotrichum porosum,NA,,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yeast. Based on description of genera https://www.adelaide.edu.au/mycology/fungal-descriptions-and-antifungal-susceptibility/yeast-like-fungi/apiotrichum#apiotrichum-mycotoxinivorans,,,,Apiotrichum porosum_NA_NA
Apiotrichum veenhuisii,Apiotrichum veenhuisii,ACCEPTED,Apiotrichum veenhuisii,NA,,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yeast. Based on description of genera https://www.adelaide.edu.au/mycology/fungal-descriptions-and-antifungal-susceptibility/yeast-like-fungi/apiotrichum#apiotrichum-mycotoxinivorans,,,,Apiotrichum veenhuisii_NA_NA
Apophysomyces elegans,Apophysomyces elegans,ACCEPTED,Apophysomyces elegans,Mitospores,,Zygomycota,Mucoromycetes,Mucorales,Saksenaeaceae,Apophysomyces,B_Opportunistic association,Pathotroph,Human_Pathogen,Human,NA,6.7,4.85,NA,NA,NA,http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=308868,Apophysomyces elegans: an Emerging Zygomycete in India,,,Apophysomyces elegans_6.7_4.85
Apophysomyces trapeziformis,Apophysomyces trapeziformis,ACCEPTED,Apophysomyces trapeziformis,Mitospores,,"""Zygomycetous fungi""",Mucoromycetes,Mucorales,Saksenaeaceae,Apophysomyces,B_Opportunistic association,Pathotroph,Human_Pathogen,Human,56.54866776,6.75,4,21.20575041,1.6875,NA,https://www.sciencedirect.com/science/article/pii/S1201971213002208,,,,Apophysomyces trapeziformis_6.75_4
Apophysomyces variabilis,Apophysomyces variabilis,ACCEPTED,Apophysomyces variabilis,Mitospores,,"""Zygomycetous fungi""",Mucoromycetes,Mucorales,Saksenaeaceae,Apophysomyces,B_Opportunistic association,Pathotroph,Human_Pathogen,Human,100.7273145,9.5,4.5,33.57577149,2.111111111,1,NA,,,,Apophysomyces variabilis_9.5_4.5
Aquanectria penicillioides,Aquanectria penicillioides,ACCEPTED,Aquanectria penicillioides,NA,,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Aquanectria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Aquanectria penicillioides_NA_NA
Armillaria cepistipes,Armillaria cepistipes,ACCEPTED,Armillaria cepistipes,Meiospores,,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,NA,8,5.5,NA,NA,NA,"The genome sequence and gene models of Armillaria cepistipes B5 were not determined by the Joint Genome Institute (JGI), but as a collaborative led by György Sipos (now at the University of Sopron). In order to allow comparative analyses with other fungal genomes sequenced by the JGI, a copy of this genome is incorporated into Mycocosm. JGI tools were used to automatically annotate predicted proteins. Please contact László Nagy for permission to use these data in publications. ; The genus Armillaria comprises mushroom-forming fungi in the Agaricales. Armillaria species have an unusual biology – they include devastating pathogens, have a mutation rate three orders of magnitudes lower than that of most filamentous fungi, reach immense colony sizes and produce rhizomorphs – multicellular structures that act as underground corridors for clonal dispersal. Members of the genus show diverse lifestyles, ranging from saprotrophs to devastating tree pathogens. They cause Armillaria root rot, or shoestring rot, named after the macroscopic appearance of rhizomorphs. The disease can cause significant losses in forest areas or woody plants, including forests, parks, or vineyards, among others, mostly in the temperate zone. They produce macroscopic fruiting bodies that are edible and known as honey mushrooms. In the saprotrophic phase of their life cycle, Armillaria species cause white rot to wood. ; Armillaria cepistipes is considered as a saprotrophic member of the Armillaria genus exhibiting also occasional opportunistic pathogenicity towards various conifer species. A. cepistipes is widely distributed in the Northern hemisphere. Assured by an intense network of vegetative rhizomorphs in the soil, the species may have an important role as a wood decomposer in many forested environments. ; Sequencing the genomes of Armillaria species will help understanding the biology of these species, in particular their pathogenic interactions with trees and will hopefully open the door for developing efficient strategies for containing their spread and damage to forest ecosystems.",Morphological and molecular characterization of the Armillaria Cepistipes - A. gallica complex in the Czech Republic and Slovakia,,,Armillaria cepistipes_8_5.5
Armillaria fuscipes,Armillaria fuscipes,ACCEPTED,Armillaria fuscipes,Meiospores,,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,Facultative association,Pathotroph,Plant_Pathogen,Plant Pathogen undefined,NA,7,6,NA,NA,NA,"root rot; Armillaria fuscipes, Petch, n. sp. Pileus up to 6 cm. diameter, at first broadly convex, then plane, margin recurved; centre obtusely umbonate with an encircling depressed zone, sometimes umbilicate; brown or yellow brown in the centre, becoming pale brown outwards, shading off to pure white in the outer half; centre corrugated; the central half covered with minute distant brown warts, elsewhere glabrous; margin striate. Flesh thin, white, turning brownish when cut. Stalk up to 10 cm. long, usually almost horizontal at the base and then curving upwards, up to 9 mm. diameter at the base, attenuated upwards and 5 mm. diameter at the apex; blackish brown, clothed with grayish flocci, becoming paler and longitudinally fibrillose towards the ring; longitudinally striate and reddish above the ring; solid, outer layers dark brown in section, inner tissue brownish white; in clusters of six to nine, arising from a cushion-like mass, each stalk surrounded at the base by a narrow, white, tomentose ring. Ring, near the apex, dependent, ample, rather thick and floccose. Gills white, rather crowded, narrow (3-4 mm. broad), decurrent, attenuated outwards. Spores white, oval, or subglobose, smooth, 6-8 x 5-7 µm. On roots of Acacia decurrens, which it kills. Mycelium between the wood and bark of the host plant in reddish plates. Rhizomorphs, 2-3 mm. diameter, at first reddish, then black. Uda Pussellawa, Ceylon.",,,,Armillaria fuscipes_7_6
Armillaria gallica,Armillaria gallica,ACCEPTED,Armillaria gallica,Meiospores,,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,Facultative association,Pathotroph-Saprotroph,Plant_Pathogen Wood_Saprotroph,Plant Pathogen undefined,NA,8.5,5,NA,NA,NA,"Armillaria gallica Marxmüller & Romagnesi is one of many species of the genus collectively known as shoestring root-rot fungi or honey mushrooms. A. gallica is a nearly ubiquitous opportunistic pathogen and saprophyte of hardwood trees in northern temperate forests. In dead wood, the fungus produces a characteristic white rot. After colonizing woody substrates, the fungus produces strand-like aggregations of hyphae called rhizomorphs, which are similar to plant roots in appearance and ability to extend through the soil. On encountering newly available woody substrates, the rhizomrphs initiate new infections and further growth. Mating in populations of A. gallica is effectively random over continental scales, presumably due to the dispersal of air-born basdiospores. Specificity in mating is controlled by the bifactorial sexual incompatibility system typical of many basidiomycetes, but the predominant vegetative phase of A. gallica is diploid, not dikaryotic as in most other basidiomycetes. In nature, each individual of A. gallica originates in a unique mating event and the resultant diploid mycelium may colonize a territory encompassing many adjacent tree root systems. Many individuals are large, extending over many hectares of forest floor, and old, often in excess of 1000 years. Because of its large geographic distribution and large biomass per unit area of forest, and formidable capabilities as a wood degrader, A. gallica is likely to play an important role in global carbon cycling.",https://www.mushroomexpert.com/armillaria_gallica.html,,,Armillaria gallica_8.5_5
Armillaria ostoyae,Armillaria ostoyae,ACCEPTED,Armillaria ostoyae,Meiospores,,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,Facultative association,Pathotroph-Saprotroph,Plant_Pathogen-Undefined Saprotroph,Plant necrotroph,142.5497667,9,5.5,38.87720909,1.636363636,2,"The genome sequence and gene models of Armillaria ostoyae C18/9 were not determined by the Joint Genome Institute (JGI), but as a collaborative led by György Sipos (now at the University of Sopron). In order to allow comparative analyses with other fungal genomes sequenced by the JGI, a copy of this genome is incorporated into Mycocosm. JGI tools were used to automatically annotate predicted proteins. Please contact László Nagy for permission to use these data in publications. ;   ; The genus Armillaria comprises mushroom-forming fungi in the Agaricales. Armillaria species have an unusual biology – they include devastating pathogens, have a mutation rate three orders of magnitudes lower than that of most filamentous fungi, reach immense colony sizes and produce rhizomorphs – multicellular structures that act as underground corridors for clonal dispersal. Members of the genus show diverse lifestyles, ranging from saprotrophs to devastating tree pathogens. They cause Armillaria root rot, or shoestring rot, named after the macroscopic appearance of rhizomorphs. The disease can cause significant losses in forest areas or woody plants, including forests, parks, or vineyards, among others, mostly in the temperate zone. They produce macroscopic fruiting bodies that are edible and known as honey mushrooms. In the saprotrophic phase of their life cycle, Armillaria species cause white rot to wood. ; Armillaria ostoyae, is a conifer specific pathogen widespread in the European/Eurasian temperate forests. It includes one of the largest terrestrial organisms on Earth, known as the humongous fungus, that was discovered in Malheur National Forest (Oregon). Its continuous colony covers 3.4 square miles. Recent phylogenetic analyses have revealed the existence of two allopatric species within the A. ostoyae complex. A. ostoyae is restricted to European/Eurasian forests, whereas in North America the species should be named A. solidipes. The genome of both species have been sequenced and show substantial differences, undepinning their separation. The diploid individuals of A. ostoyae, spreading very effciently by shoestring like mycelial structures, rhizomorphs, often form large colonies in the soil and have access to the roots of potential hosts in extended areas. A. ostoyae is a facultative necrotroph with isolates exhibiting a significant diversity in virulence. After the infection through root contacts, they often cause unseen root and stem rot or they may advance under the bark by invading and killing the cambium of the host. ; Sequencing the genomes of Armillaria species will help understanding the biology of these species, in particular their pathogenic interactions with trees and will hopefully open the door for developing efficient strategies for containing their spread and damage to forest ecosystems.",,,,Armillaria ostoyae_9_5.5
Armillaria solidipes,Armillaria solidipes,ACCEPTED,Armillaria solidipes,Meiospores,,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,Facultative association,Pathotroph-Saprotroph,Plant_Pathogen-Undefined Saprotroph,Plant necrotroph,194.3042331,9.5,6.25,46.63301595,1.52,2,"Armillaria solidipes (Romangnesi) Herink (formerly called A. ostoyae) is one of many species of the genus collectively known as shoestring root-rot fungi or honey mushrooms. A. solidipes is a nearly ubiquitous invader and pathogen of softwood trees in northern temperate forests. The effect of the fungus on its host ranges from lethal to nearly negligible. Newly planted pines in recently cleared mixed hardwood forests are particularly susceptible to damage by the fungus. Mating in populations of A. solidipes is effectively random over continental scales, presumably due to the dispersal of air-born basidiospores. Specificity in mating is controlled by the bifactorial sexual incompatibility system typical of many basidiomycetes, but the predominant vegetative phase of A. solidipes is diploid, not dikaryotic as in most other basidiomycetes. In nature, each individual of A. solidipes originates in a unique mating event and the resultant diploid mycelium may colonize a territory encompassing many adjacent tree root systems. Many individuals are large, extending over many hectares of forest floor, and old, often in excess of 1000 years. One such individual in the Malheur national Forest, Washington, USA extends over nearly 1000 hectares; the genome sequence for this species therefore represents some of the largest individuals on earth. Because of its large geographic distribution, large biomass per unit area of forest, and formidable capabilities as a pathogen and wood degrader, A. solidipes is likely to play an important role in global carbon cycling.",,,,Armillaria solidipes_9.5_6.25
Arthonia radiata,Arthonia radiata,ACCEPTED,Arthonia radiata,Meiospores,,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,Obligate association,Symbiotroph,Lichenized,Lichen,NA,17,5.5,NA,NA,NA,http://liaslight.lias.net/,,,,Arthonia radiata_17_5.5
Arthrobotrys oligospora,Arthrobotrys oligospora,NA,NA,Mitospores,,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Animal,Predator,Nematode_Trapping,Animal,3428.850107,26.67647059,15.16176471,320.6388002,1.815319785,NA,"The genome sequence and gene predictions of Arthrobotrys oligospora were not determined by the JGI, but were downloaded from NCBI and have been published (Jinkui Yang et al, 2011). Please note that this copy of the genome is not maintained by the author and is therefore not automatically updated. ; Nematode-trapping fungi are a heterogeneous group of organisms broadly distributed in terrestrial and aquatic ecosystems. These fungi are capable of developing specific trapping devices such as adhesive networks, adhesive knobs, and constricting rings to capture nematodes and then extract nutrients from their nematode prey. Most nematode-trapping fungi can live as both saprophytes and parasites. They play important roles in maintaining nematode population density in diverse natural environments. Their broad adaptability and flexible lifestyles also make them ideal agents for controlling parasitic nematodes of plants and animals. ; Arthrobotrys oligospora (teleomorph Orbilia auricolor) is one of the best-studied nematode-trapping fungi. Strains of A. oligospora have been found in diverse soil environments including heavy metal-polluted soils and decaying wood where they live mainly as saprophytes. In the presence of nematodes, A. oligospora enters the parasitic stage by forming complex three-dimensional networks to trap nematodes. The trapping initiates a series of processes including adhesion, penetration, and immobilization of nematodes. The ability to trap nematodes makes it an attractive candidate agent for controlling parasitic nematodes of plants and animals. Indeed, two commercial biological nematicides, Royal 300 and Royal 350, have been developed based on two species closely related to A. oligospora: A. robusta and A. irregularis. ;   ;   ; ",,,,Arthrobotrys oligospora_26.67647059_15.16176471
Articulospora tetracladia,Articulospora tetracladia,SYNONYM,Hymenoscyphus tetracladius,NA,,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Articulospora tetracladia_NA_NA
Articulospora tetracladia,Hymenoscyphus tetracladius,SYNONYM,NA,NA,,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Articulospora tetracladia_NA_NA
Ascochyta rabiei,Ascochyta rabiei,SYNONYM,Mycosphaerella rabiei,Mitospores,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Facultative association,Pathotroph,Plant_Pathogen,Plant Pathogen Necrotroph,NA,14,4.25,NA,NA,NA,"Ascochyta is a genus of ascomycete fungi, containing several species that are pathogenic to plants, particularly cereal crops. Ascochyta blight of chickpea is caused by the fungal pathogen Ascochyta rabiei (formerly known as Phoma rabiei). ; The genome sequence and gene prediction of Ascochyta rabiei ArDII have not been determined by the JGI, but were downloaded from NCBI on June 1, 2017. In order to allow comparative analyses with other fungal genomes sequenced by the Joint Genome Institute, a copy of this genome is incorporated into Mycocosm. Please note that this copy of the genome is not maintained by NCBI and is therefore not automatically updated. JGI tools were used to automatically annotate predicted proteins.",,,,Ascochyta rabiei_14_4.25
Ascochyta rabiei,Mycosphaerella rabiei,SYNONYM,NA,Mitospores,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Facultative association,Pathotroph,Plant_Pathogen,Plant Pathogen Necrotroph,139.8663229,14,4.25,47.32023934,3.357142857,1,"Ascochyta is a genus of ascomycete fungi, containing several species that are pathogenic to plants, particularly cereal crops. Ascochyta blight of chickpea is caused by the fungal pathogen Ascochyta rabiei (formerly known as Phoma rabiei). ; The genome sequence and gene prediction of Ascochyta rabiei ArDII have not been determined by the JGI, but were downloaded from NCBI on June 1, 2017. In order to allow comparative analyses with other fungal genomes sequenced by the Joint Genome Institute, a copy of this genome is incorporated into Mycocosm. Please note that this copy of the genome is not maintained by NCBI and is therefore not automatically updated. JGI tools were used to automatically annotate predicted proteins.",,,,Ascochyta rabiei_14_4.25
Ascocoryne sarcoides,Ascocoryne sarcoides,ACCEPTED,Ascocoryne sarcoides,Meiospores,,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Ascocoryne,Facultative association,Symbiotroph,Endophyte,Plant Endophyte,159.0431281,15,4.5,53.01437603,3.333333333,NA,"The genome sequence and gene predictions of Ascocoryne sarcoides were not determined by the JGI, but were provided by Daniel Spakowicz (daniel.spakowicz@yale.edu) and have been published (Gianoulis et al., 2012). Please note that this copy of the genome is not maintained by the author and is therefore not automatically updated. ; This isolate has been observed to produce a series of volatile organic compounds (VOCs) with a suggested application as biofuels. This fungus was isolated in 2003 as an endophyte of Eucryphia cordifolia in Chilean Northern Patagonia (Stinson et al., 2003). It was observed to produce VOCs, notably 8-annulene, that inhibited the growth of a variety of test fungi and oomycetes. In 2008 its VOC profile was revisited and a different suite of molecules were observed, including a series of gasoline-like branched and straight-chain alkanes, alkenes and alcohols. In addition, many of these molecules were observed when the fungus was grown on a medium containing cellulose as the sole carbon source, leading to the speculation that this organism could be used to convert waste biomass to fuel (Strobel et al., 2008). In 2010 an analysis of isolate NRRL50072 and ten closely-related, publicly available isolates refined the taxonomy of NRRL50072 to Ascocoryne sarcoides (Griffin et al., 2010). In addition, the series of molecules produced by NRRL50072 was amended to exclude many of the branched-chain alkanes. The 2012 genome analysis characterized the cellulose degradation genes and predicted that the eight-carbon alcohol and alkene VOCs were produced via the catabolism of linoleic acid, due to a correlation with the expression of genes in that pathway (Gianoulis et al., 2012). ;   ; References ;   ; ",,,,Ascocoryne sarcoides_15_4.5
Ascoidea asiatica,Ascoidea asiatica,ACCEPTED,Ascoidea asiatica,NA,,Ascomycota,Saccharomycetes,Saccharomycetales,Ascoideaceae,Ascoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Ascoidea asiatica_NA_NA
Ascoidea rubescens,Ascoidea rubescens,ACCEPTED,Ascoidea rubescens,NA,,Ascomycota,Saccharomycetes,Saccharomycetales,Ascoideaceae,Ascoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hemiascatales, to which Ascoidea rubescens belongs, show characteristics of both Ascomycetes and Phycomycetes, but differ widely from typical forms in either group. Their taxonomic associations are difficult to trace from life histories. This is particularly true of Ascoidea. Lindeau collected Ascoidea rubescens from sap flowing from felled beeches in the royal forest at Wolbeck. Brefeld studied the isolate and gave a comprehensive description in 1891. Ascoidea species live in close association with bark beetles, in slime fluxes of trees or behind bark. All species appear primarily to be disseminated by insect vectors. ; Walker, L.B. 1931. Ascoidea rubescens: I. History and Development. Mycologia, Vol. 23 (1):51-76. Kurtzman, C.P. and Fell, J.W. (Eds.) 1998. The Yeasts (4th Ed.), P. 139. Elsevier, Amsterdam.",,,,Ascoidea rubescens_NA_NA
Ascosphaera apis,Ascosphaera apis,ACCEPTED,Ascosphaera apis,Meiospores,,Ascomycota,Eurotiomycetes,Ascosphaerales,Ascosphaeraceae,Ascosphaera,Obligate association,Patotroph,Insect_Pathogen,Insect,144349.4247,42.375,41.75,2642.128509,1.416666667,NA,"The genome sequence and gene models of Ascosphaera apis ARSEF 7405 were not determined by the Joint Genome Institute (JGI), but were downloaded from Ensembl Fungi on April 11, 2020. Please note that this copy of the genome is not maintained by Ensembl and is therefore not automatically updated. The JGI Annotation Pipeline was used to add additional functional annotation to the author's chromosomes and proteins.",https://pubmed.ncbi.nlm.nih.gov/25959551/,,,Ascosphaera apis_42.375_41.75
Ashbya aceri,Ashbya aceri,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Ashbya aceri_NA_NA
Aspergillus aculeatinus,Aspergillus aculeatinus,ACCEPTED,Aspergillus aculeatinus,Mitospores,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,15.78650308,3.35,3,7.893251542,1.116666667,NA,"This species was sequenced as a part of the Aspergillus whole-genus sequencing project - a project dedicated to performing whole-genome sequencing of all members of the Aspergillus genus. The Aspergilli is a ubiquitous and species-rich genus, currently containing more than 300 filamentous fungi. The genus covers a wide range of phenotypes and has a substantial economic foot print, as it includes fermenters of foodstuffs, key cell factories for production of enzymes and organic acids, plant pathogens, model organisms for cell biology, human opportunistic pathogens, producers of animal and human mycotoxins, and degraders of a wide range of organic biomass relevant for bioenergy conversion. ; Aspergillus aculeatinus (MB 505075) ; A. aculeatinus Noonim, Frisvad, Varga & Samson was described in Int J Syst Evol Microbiol 58: 1727-1734, 2008 (on page 1733). The species is placed in the A. aculeatus clade (Varga et al., Stud Mycol 69: 1-17, 2011). It has been found in green robusta and Arabica coffee beans from Thailand and in soil from Japan. A. aculeatinus can be induced to produce sclerotia by raisins and can produce an indoloterpene in the sclerotia (Frisvad et al., PLOS ONE 9:e94857, 2014). A. aculeatinus can produce aculeasins, neoxaline, secalonic acid D & F. This species is potential candidate for bioindustrial applications.",,,,Aspergillus aculeatinus_3.35_3
Aspergillus aculeatus,Aspergillus aculeatus,ACCEPTED,Aspergillus aculeatus,Mitospores,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Facultative association,Pathotroph,Plant_Pathogen,Plant necrotroph,351.5837216,6.607142857,6.464285714,46.73820321,1.035714286,1,"NA ; NA ; As a common member of the microbial communities found in soils, with a wide array of hydrolytic and oxidative enzymes involved in the breakdown of plant lignocellulose, Aspergillus species are important sources of enzymes and play a significant role in the global carbon cycle.  The discovery of regulatory domains in the non-coding regions of important carbon flux genes will help to identify and characterize the ""circuits"" involved in carbon cycling. Furthermore, Aspergillus species are important models for the study of eukaryotic protein secretion, the effects of various environmental factors on suppressing or triggering the export of diverse biomass degrading enzymes, molecular mechanisms critical to fermentation process development, and mechanisms involved in the control of fungal morphology. Aspergillus aculeatus is a ubiquitous species that is commonly isolated from soil and rotting fruit.  Like other black-spored Aspergillus species, morphological criteria like color, shape, size, and ornamentation of conidia have been used to classify strains.  However, the black aspergilli vary significantly in their morphological and physiological characteristics, and unambiguous identification of an isolate requires molecular and biochemical identification techniques.  Owing to its ability to rapidly degrade plant cell walls, A. aculeatus isolates have been used to produce a number of important industrial enzymes (cellulases, hemicellulases, proteases) that are used commercially in the food and feed industries. The biochemical and catalytic properties of several extracellular glycosyl hydrolases from A. aculeatus have been studied in detail. In addition, several A. aculeatus polysaccharide degrading enzymes have studied at the structural level by X-ray crystallography. ",,,,Aspergillus aculeatus_6.607142857_6.464285714
Aspergillus arachidicola,Aspergillus arachidicola,ACCEPTED,Aspergillus arachidicola,Mitospores,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Facultative association,Pathotroph,Plant_Pathogen,Plant Pathogen undefined,NA,4.75,4.75,NA,NA,NA,"Aspergillus arachidicola CBS 117612 was sequenced as a part of the Aspergillus whole-genus sequencing project - a project dedicated to performing whole-genome sequencing of all members of the Aspergillus genus. The Aspergilli are a ubiquitous and species-rich genus, currently containing more than 300 filamentous fungi. The genus covers a wide range of phenotypes and has a substantial economic foot print, as it includes fermenters of foodstuffs, key cell factories for production of enzymes and organic acids, plant pathogens, model organisms for cell biology, human opportunistic pathogens, producers of animal and human mycotoxins, and degraders of a wide range of organic biomass relevant for bioenergy conversion.",Two novel aflatoxin-producing Aspergillus species from Argentinean peanuts,,,Aspergillus arachidicola_4.75_4.75
Aspergillus awamori,Aspergillus awamori,ACCEPTED,Aspergillus awamori,Mitospores,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,91.30253649,5.5,5.5,24.15099352,1,NA,NA,,,,Aspergillus awamori_5.5_5.5
Aspergillus bombycis,Aspergillus bombycis,ACCEPTED,Aspergillus bombycis,Mitospores,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,B_Opportunistic association,Pathotroph,Human_Pathogen,Human,NA,5.5,5.5,NA,NA,NA,"The genome sequence and gene models of Aspergillus bombycis NRRL 26010 have not been determined by the JGI, but were downloaded from NCBI on May 28, 2017. In order to allow comparative analyses with other fungal genomes sequenced by the Joint Genome Institute, a copy of this genome is incorporated into Mycocosm. Please note that this copy of the genome is not maintained by NCBI and is therefore not automatically updated.",http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=474687,,,Aspergillus bombycis_5.5_5.5
